Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target
0.2,0.15,0.25,0.0,0.2,0.15,0.05,9.4394,0.3475,2644.35,Nb-Ta-V-Mo-Ti-W,314.5502767193158,0.1527525231651947
0.2,0.15,0.25,0.05,0.05,0.2,0.1,9.4427,0.3415,2600.75,Nb-Ta-V-Cr-Mo-Ti-W,334.1618068026894,0.13540064007726602
0.2,0.15,0.25,0.05,0.15,0.15,0.05,9.2829,0.3424999999999999,2608.55,Nb-Ta-V-Cr-Mo-Ti-W,387.4416910674585,0.11547005383792515
0.2,0.15,0.25,0.05,0.25,0.1,0.0,9.1231,0.3435,2616.35,Nb-Ta-V-Cr-Mo-Ti,439.97489644819154,0.1957890020745122
0.2,0.15,0.25,0.1,0.15,0.1,0.05,9.4151,0.3369999999999999,2620.5,Nb-Ta-V-Cr-Mo-Ti-W,520.5461477119005,0.11547005383792516
0.2,0.15,0.25,0.1,0.2,0.1,0.0,8.9666,0.3385,2580.55,Nb-Ta-V-Cr-Mo-Ti,495.3140865496415,0.16832508230603466
0.2,0.15,0.25,0.15,0.0,0.15,0.1,9.4184,0.331,2576.9,Nb-Ta-V-Cr-Ti-W,488.22853293636825,0.16832508230603463
0.2,0.15,0.25,0.15,0.1,0.1,0.05,9.2586,0.332,2584.7,Nb-Ta-V-Cr-Mo-Ti-W,555.8234096342993,0.13540064007726602
0.2,0.15,0.25,0.15,0.2,0.05,0.0,9.0988,0.333,2592.5,Nb-Ta-V-Cr-Mo-Ti,621.3496191190297,0.1957890020745122
0.2,0.15,0.25,0.2,0.1,0.05,0.05,9.3908,0.3265,2596.65,Nb-Ta-V-Cr-Mo-Ti-W,673.4186015575774,0.1825741858350554
0.2,0.15,0.3,0.0,0.05,0.2,0.1,9.3907,0.3495,2600.9,Nb-Ta-V-Mo-Ti-W,261.6802070601167,0.16329931618554522
0.2,0.15,0.3,0.0,0.15,0.15,0.05,9.230900000000002,0.3505,2608.7,Nb-Ta-V-Mo-Ti-W,306.991418072,0.14719601443879743
0.2,0.15,0.3,0.05,0.15,0.1,0.05,9.3631,0.345,2620.65,Nb-Ta-V-Cr-Mo-Ti-W,435.6787419388138,0.12909944487358055
0.2,0.15,0.3,0.05,0.2,0.1,0.0,8.9146,0.3465,2580.7,Nb-Ta-V-Cr-Mo-Ti,413.4409863151912,0.17795130420052185
0.2,0.15,0.3,0.1,0.0,0.15,0.1,9.3664,0.339,2577.05,Nb-Ta-V-Cr-Ti-W,416.09407218429817,0.16329931618554522
0.2,0.15,0.3,0.1,0.1,0.1,0.05,9.2066,0.34,2584.85,Nb-Ta-V-Cr-Mo-Ti-W,477.2161233337563,0.12909944487358055
0.2,0.15,0.3,0.1,0.15,0.05,0.05,9.4953,0.3395,2632.6,Nb-Ta-V-Cr-Mo-Ti-W,564.4974704433265,0.14719601443879746
0.2,0.15,0.3,0.1,0.2,0.05,0.0,9.0468,0.341,2592.65,Nb-Ta-V-Cr-Mo-Ti,536.6370669663055,0.19148542155126763
0.2,0.15,0.3,0.15,0.0,0.1,0.1,9.4986,0.3335,2589.0,Nb-Ta-V-Cr-Ti-W,526.277517968261,0.17795130420052185
0.2,0.15,0.3,0.15,0.1,0.05,0.05,9.3388,0.3345,2596.8,Nb-Ta-V-Cr-Mo-Ti-W,592.609494929094,0.1632993161855452
0.2,0.15,0.35,0.0,0.05,0.15,0.1,9.4709,0.352,2613.0,Nb-Ta-V-Mo-Ti-W,306.476463416521,0.1732050807568877
